,Name,Competition,Region,Year,Instrument,Prize,Gender
0, Lev Oborin,Chopin,Europe,1927,piano,1,0
1, Stanisław Szpinalski,Chopin,Europe,1927,piano,2,0
2, Róża Etkin,Chopin,Europe,1927,piano,3,1
3, Grigory Ginzburg,Chopin,Europe,1927,piano,4,0
4, Alexandre Uninsky (c),Chopin,Europe,1932,piano,1,0
5, Imre Ungár (c),Chopin,Europe,1932,piano,2,0
6, Bolesław Kon,Chopin,Europe,1932,piano,3,0
7, Abram Lufer,Chopin,Europe,1932,piano,4,0
8, Lajos Kentner,Chopin,Europe,1932,piano,5,0
9, Leonid Sagalov,Chopin,Europe,1932,piano,6,0
10, Yakov Zak,Chopin,Europe,1937,piano,1,0
11, Rosa Tamarkina,Chopin,Europe,1937,piano,2,1
12, Witold Małcużyński,Chopin,Europe,1937,piano,3,0
13, Lance Dossor,Chopin,Europe,1937,piano,4,0
14, Agi Jambor,Chopin,Europe,1937,piano,5,1
15, Edith Axenfeld,Chopin,Europe,1937,piano,6,1
16, Bella Davidovich,Chopin,Europe,1949,piano,1,1
17, Halina Czerny-Stefańska (tie),Chopin,Europe,1949,piano,1,1
18, Barbara Hesse-Bukowska,Chopin,Europe,1949,piano,2,1
19, Waldemar Maciszewski,Chopin,Europe,1949,piano,3,0
20, Georgy Muravlov,Chopin,Europe,1949,piano,4,0
21, Władysław Kędra,Chopin,Europe,1949,piano,5,0
22, Ryszard Bakst,Chopin,Europe,1949,piano,6,0
23, Adam Harasiewicz,Chopin,Europe,1955,piano,1,0
24, Vladimir Ashkenazy,Chopin,Europe,1955,piano,2,0
25, Fou Ts'ong,Chopin,Asia,1955,piano,3,0
26, Bernard Ringeissen,Chopin,Europe,1955,piano,4,0
27, Naum Shtarkman,Chopin,Europe,1955,piano,5,0
28, Dmitry Paperno,Chopin,Europe,1955,piano,6,0
29, Maurizio Pollini,Chopin,Europe,1960,piano,1,0
30, Irina Zaritskaya,Chopin,Europe,1960,piano,2,1
31, Tania Achot-Haroutounian,Chopin,Other,1960,piano,3,1
32, Li Min-Chan,Chopin,Asia,1960,piano,4,0
33, Zinaida Ignatyeva,Chopin,Europe,1960,piano,5,1
34, Valeri Kastelsky,Chopin,Europe,1960,piano,6,0
35, Martha Argerich,Chopin,Other,1965,piano,1,1
36, Arthur Moreira Lima,Chopin,Other,1965,piano,2,0
37, Marta Sosińska,Chopin,Europe,1965,piano,3,1
38, Hiroko Nakamura,Chopin,Asia,1965,piano,4,1
39, Edward Auer,Chopin,USA/Canada,1965,piano,5,0
40, Elżbieta Głąbówna,Chopin,Europe,1965,piano,6,1
41, Garrick Ohlsson,Chopin,USA/Canada,1970,piano,1,0
42, Mitsuko Uchida,Chopin,Asia,1970,piano,2,1
43, Piotr Paleczny,Chopin,Europe,1970,piano,3,0
44, Eugen Indjic,Chopin,USA/Canada,1970,piano,4,0
45, Natalya Gavrilova,Chopin,Europe,1970,piano,5,1
46, Janusz Olejniczak,Chopin,Europe,1970,piano,6,0
47, Krystian Zimerman,Chopin,Europe,1975,piano,1,0
48, Dina Joffe,Chopin,Europe,1975,piano,2,1
49, Tatyana Fedkina,Chopin,Europe,1975,piano,3,1
50, Pavel Gililov,Chopin,Europe,1975,piano,4,0
51, Dean Kramer,Chopin,USA/Canada,1975,piano,5,0
52, Diana Kacso,Chopin,Other,1975,piano,6,1
53, Dang Thai Son,Chopin,Asia,1980,piano,1,0
54, Tatyana Shebanova,Chopin,Europe,1980,piano,2,1
55, Arutyun Papazyan,Chopin,Europe,1980,piano,3,0
56, Akiko Ebi,Chopin,Asia,1980,piano,5,1
57, Ewa Pobłocka (tie),Chopin,Europe,1980,piano,5,1
58, Eric Berchot,Chopin,Europe,1980,piano,6,0
59, Irina Pietrova (tie) -->,Chopin,Europe,1980,piano,6,1
60, Stanislav Bunin,Chopin,Europe,1985,piano,1,0
61, Marc Laforet,Chopin,Europe,1985,piano,2,0
62, Krzysztof Jabłoński,Chopin,Europe,1985,piano,3,0
63, Michie Koyama,Chopin,Asia,1985,piano,4,1
64, Jean-Marc Luisada,Chopin,Europe,1985,piano,5,0
65, Tatyana Pikayzen,Chopin,Europe,1985,piano,6,1
66, Kevin Kenner,Chopin,USA/Canada,1990,piano,2,0
67, Yukio Yokoyama,Chopin,Asia,1990,piano,3,0
68, Corrado Rollero,Chopin,Europe,1990,piano,4,0
69, Margarita Shevchenko (tie),Chopin,Europe,1990,piano,4,1
70, Anna Malikova,Chopin,Europe,1990,piano,5,1
